Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
"MODERN CHINESE MEDICINE GROUP CO., LTD.",2.500HKD,230M,390.20%,Other Pharmaceuticals
MODERN DENTAL GROUP LIMITED,5.530HKD,679M,3.75%,Medical Prosthetics
MODERN HEALTHCARE TECHNOLOGY HOLDINGS LIMITED,0.0940HKD,10.85M,25.33%,Personal Care Services
MODERN INNOVATIVE DIGITAL TECHNOLOGY COMPANY LIMITED,0.0990HKD,54.17M,-19.51%,Other Electronic Equipment & Parts
"MODERN LAND (CHINA) CO., LIMITED",0.0130HKD,4.64M,-7.14%,Residential Real Estate Development
MODERN LIVING INVESTMENTS HOLDINGS LIMITED,0.2550HKD,26.04M,-32.89%,Other Real Estate Services
MOG DIGITECH HOLDINGS LIMITED,0.1040HKD,18.22M,-65.33%,Other Computer Hardware
MOISELLE INTERNATIONAL HOLDINGS LIMITED,0.1930HKD,7.09M,24.52%,Other Apparel & Accessories
"MOKINGRAN JEWELRY GROUP CO., LTD.",13.20CNY,460M,-14.73%,Jewelry
MOMENTUM FINANCIAL HOLDINGS LIMITED,0.2750HKD,114M,-6.78%,Other Food Retail & Distribution
MONGOLIA ENERGY CORPORATION LIMITED,0.6000HKD,14.17M,-11.76%,Other Coal
MONGOLIAN MINING CORPORATION,8.200HKD,1.14B,-22.20%,Other Coal
MOON INC.,0.9100HKD,57.39M,-27.78%,Telecommunications Resellers
MORIMATSU INTERNATIONAL HOLDINGS COMPANY LIMITED,8.970HKD,1.49B,-2.71%,Other Industrial Machinery & Equipment
MOS HOUSE GROUP LIMITED,2.900HKD,108M,33.03%,Builder Merchants
MOST KWAI CHUNG LIMITED,7.580HKD,265M,1253.57%,Other Commercial Printing Services
MOUNT EVEREST GOLD GROUP COMPANY LIMITED,0.7900HKD,143M,-67.62%,Jewelry & Watch Retailers
MS CONCEPT LIMITED,0.0710HKD,9.57M,82.05%,Commercial Food Services
MS GROUP HOLDINGS LIMITED,1.190HKD,31.83M,-3.25%,Plastic Containers & Packaging
MTR CORPORATION LIMITED,32.46HKD,26.19B,8.93%,Commuting Services
MTT GROUP HOLDINGS LIMITED,0.7900HKD,63.02M,-9.20%,Other Software
MULSANNE GROUP HOLDING LIMITED,0.2460HKD,30.32M,-19.34%,Apparel Wholesale
MULTIFIELD INTERNATIONAL HOLDINGS LIMITED,0.9400HKD,100M,-6.00%,Other Real Estate Development & Operations
NAGACORP LTD.,4.000HKD,2.3B,-14.16%,Other Casinos & Gaming
NAMESON HOLDINGS LIMITED,0.9300HKD,273M,-10.58%,Knitwear
NAMYUE HOLDINGS LIMITED,0.3300HKD,22.66M,-8.33%,Leather Goods
NAN NAN RESOURCES ENTERPRISE LIMITED,0.2020HKD,19.73M,-8.18%,Other Coal
NANFANG COMMUNICATION HOLDINGS LIMITED,0.5200HKD,114M,420.00%,"Iron, Steel Mills & Foundries"
"NANJING LEADS BIOLABS CO., LTD.",60.50HKD,1.6B,18.63%,Other Biotechnology & Medical Research
NANJING SAMPLE TECHNOLOGY COMPANY LIMITED,0.2800HKD,29.32M,12.00%,Technology Consulting & Outsourcing Services
