Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
CHINA TAIPING INSURANCE HOLDINGS COMPANY LIMITED,20.88HKD,9.38B,11.72%,Life Insurance
CHINA TANGSHANG HOLDINGS LIMITED,0.0790HKD,34.57M,-3.66%,Other Real Estate Development & Operations
CHINA TECHNOLOGY INDUSTRY GROUP LIMITED,0.0740HKD,4.35M,-14.94%,Other Renewable Energy Equipment & Services
CHINA TELECOM CORPORATION LIMITED,5.330HKD,79.79B,-1.30%,Other Integrated Telecommunications Services
CHINA TIAN YUAN HEALTHCARE GROUP LIMITED,0.4600HKD,23.42M,-34.29%,Hotels & Motels
CHINA TIANBAO GROUP DEVELOPMENT COMPANY LIMITED,0.2600HKD,29.13M,27.45%,Other Construction & Engineering
"CHINA TIANRUI AUTOMOTIVE INTERIORS CO., LTD",0.2900HKD,88.82M,33.03%,Automotive Accessories
CHINA TIANRUI GROUP CEMENT COMPANY LIMITED,0.2400HKD,94.44M,-9.43%,Other Construction Materials
CHINA TING GROUP HOLDINGS LIMITED,0.1010HKD,31.89M,71.19%,Other Apparel & Accessories
"CHINA TITANS ENERGY TECHNOLOGY GROUP CO., LIMITED",0.1280HKD,24.37M,-28.09%,Batteries & Uninterruptable Power Supplies
CHINA TOBACCO INTERNATIONAL (HK) COMPANY LIMITED,24.52HKD,2.2B,-30.74%,Tobacco Stores
CHINA TONTINE WINES GROUP LIMITED,0.2010HKD,8.54M,-53.26%,Wineries
CHINA TOWER CORPORATION LIMITED,10.26HKD,22.91B,-11.25%,Telecommunication Construction
CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,1.580HKD,1.03B,-24.40%,Other Pharmaceuticals
CHINA TRAVEL INTERNATIONAL INVESTMENT HONG KONG LIMITED,1.250HKD,876M,-3.10%,Other Leisure & Recreation
CHINA TREASURES NEW MATERIALS GROUP LTD.,0.3750HKD,55.9M,57.56%,Plastic Containers & Packaging
CHINA UNICOM (HONG KONG) LIMITED,7.850HKD,30.93B,0.90%,Other Wireless Telecommunications Services
CHINA UNITED VENTURE INVESTMENT LIMITED,0.0540HKD,5.55M,-33.33%,Other Computer Hardware
CHINA UPTOWN GROUP COMPANY LIMITED,0.3400HKD,19.65M,57.41%,Other Real Estate Development & Operations
CHINA VANADIUM TITANO-MAGNETITE MINING COMPANY LIMITED,0.0730HKD,21.24M,-8.75%,Iron Ore Mining
CHINA VERED FINANCIAL HOLDING CORPORATION LIMITED,0.9700HKD,249M,-11.01%,Other Holding Companies
CHINA WACAN GROUP COMPANY LIMITED,0.7000HKD,50.38M,68.67%,Building Contractors
CHINA WAN TONG YUAN (HOLDINGS) LIMITED,0.4900HKD,62.53M,-2.00%,Funeral Services
CHINA WANTIAN HOLDINGS LIMITED,1.090HKD,283M,-21.58%,Fishing & Farming Wholesale
CHINA WATER AFFAIRS GROUP LIMITED,4.810HKD,967M,-7.50%,Water Supply & Irrigation Systems
CHINA WATER INDUSTRY GROUP LIMITED,0.2180HKD,20.57M,-26.10%,Other Water Utilities
CHINA WEAVING MATERIALS HOLDINGS LIMITED,2.710HKD,43.31M,-9.67%,Other Textiles & Leather Goods
"CHINA WOOD INTERNATIONAL HOLDING CO., LIMITED",0.1700HKD,21.41M,11.11%,Wood Product Wholesale
CHINA XINHUA EDUCATION GROUP LIMITED,0.4050HKD,87.25M,-27.68%,Universities
CHINA XLX FERTILISER LTD.,10.50HKD,1.97B,16.56%,Fertilizer
CHINA YONGDA AUTOMOBILES SERVICES HOLDINGS LIMITED,0.8300HKD,206M,-52.27%,New Car Dealers
CHINA YOURAN DAIRY GROUP LIMITED,3.100HKD,1.64B,-38.98%,Dairy Products
CHINA YUHUA EDUCATION CORPORATION LIMITED,0.4000HKD,219M,-23.08%,Universities
CHINA YURUN FOOD GROUP LIMITED,0.1060HKD,24.66M,0.00%,Animal Slaughtering & Processing
CHINA ZENITH CHEMICAL GROUP LIMITED,0.0150HKD,2.59M,-.--%,Other Commodity Chemicals
CHINA ZHENGTONG AUTO SERVICES HOLDINGS LIMITED,0.1430HKD,183M,-.--%,"Other Auto Vehicles, Parts & Service Retailers"
"CHINA ZHESHANG BANK CO., LTD",2.410HKD,11.23B,-4.37%,Commercial Banks
CHINA-HONGKONG PHOTO PRODUCTS HOLDINGS LIMITED,0.1180HKD,17.09M,1.72%,Consumer Electronic Wholesale
CHINASOFT INTERNATIONAL LIMITED,3.400HKD,1.07B,-31.59%,Other IT Services & Consulting
CHINESE ESTATES HOLDINGS LIMITED,1.210HKD,295M,-1.63%,Other Real Estate Development & Operations
CHINESE PEOPLE HOLDINGS COMPANY LIMITED,0.0270HKD,31.93M,-20.59%,Natural Gas Pipeline
CHING LEE HOLDINGS LIMITED,0.0650HKD,8.4M,4.84%,Building Contractors
CHINLINK INTERNATIONAL HOLDINGS LIMITED,0.0230HKD,3.43M,-30.30%,Retail Real Estate Development
CHINNEY ALLIANCE GROUP LIMITED,0.2550HKD,20.5M,-49.00%,Other Construction & Engineering
"CHINNEY INVESTMENTS, LIMITED",0.6100HKD,42.92M,7.02%,Other Real Estate Development & Operations
CHINNEY KIN WING HOLDINGS LIMITED,0.2700HKD,53.6M,-22.86%,Building Contractors
CHK OIL LIMITED,0.2470HKD,26.51M,36.46%,Petroleum Product Wholesale
CHONG FAI JEWELLERY GROUP HOLDINGS COMPANY LIMITED,0.1790HKD,8.22M,-40.33%,Jewelry & Watch Retailers
CHONGQING IRON & STEEL COMPANY LIMITED,1.000HKD,1.7B,-15.25%,"Iron, Steel Mills & Foundries"
"CHONGQING MACHINERY & ELECTRIC CO., LTD.",3.090HKD,1.47B,69.78%,Other Industrial Machinery & Equipment
"CHONGQING RURAL COMMERCIAL BANK CO., LTD.",6.590HKD,11.04B,7.15%,Other Banks
CHOW SANG SANG HOLDINGS INTERNATIONAL LIMITED,11.11HKD,953M,-8.93%,Jewelry
CHOW TAI FOOK JEWELLERY GROUP LIMITED,11.48HKD,14.25B,-7.51%,Jewelry
CHTC FONG'S INTERNATIONAL COMPANY LIMITED,0.4200HKD,62.48M,42.37%,Industrial Machinery
CHU KONG PETROLEUM AND NATURAL GAS STEEL PIPE HOLDINGS LIMITED,0.2900HKD,39.36M,0.00%,Metallic Rolling & Drawing Products
CHU KONG SHIPPING ENTERPRISES (GROUP) COMPANY LIMITED,0.6900HKD,100M,-8.00%,Deep Sea Freight
CHUAN HOLDINGS LIMITED,0.2160HKD,36.84M,29.34%,Other Construction & Engineering
CHUANG'S CHINA INVESTMENTS LIMITED,0.1150HKD,34.45M,9.52%,Other Real Estate Development & Operations
CHUANG'S CONSORTIUM INTERNATIONAL LIMITED,0.2900HKD,61.9M,-7.94%,Other Real Estate Development & Operations
CHUANGLIAN HOLDINGS LIMITED,0.2150HKD,18.89M,-25.86%,Miscellaneous Educational Service Providers
CHUANGXIN INDUSTRIES HOLDINGS LIMITED,20.54HKD,5.76B,-0.77%,Other Aluminum
CHYY DEVELOPMENT GROUP LIMITED,0.0400HKD,22.9M,8.11%,Geothermal Electric Utilities
CIDI INC.,25.52HKD,1.34B,10.98%,Electric (Alternative) Vehicles
CIFI HOLDINGS (GROUP) CO. LTD.,0.0620HKD,145M,-61.49%,Other Real Estate Development & Operations
CIMC ENRIC HOLDINGS LIMITED,9.460HKD,2.59B,0.11%,Other Oil Related Services and Equipment
CINDA INTERNATIONAL HOLDINGS LIMITED,0.7300HKD,59.74M,35.19%,Investment Management
CINESE INTERNATIONAL GROUP HOLDINGS LIMITED,0.1400HKD,21.44M,38.61%,Other Business Support Services
CIPRUN TECHNOLOGY HOLDINGS COMPANY LIMITED,0.2550HKD,179M,29.44%,Other Internet Services
CIRCUTECH INTERNATIONAL HOLDINGS LIMITED,2.470HKD,8.21M,-22.08%,Other Computer Hardware
CIRRUS AIRCRAFT LIMITED,34.00HKD,1.53B,-38.99%,Commercial Aircraft Manufacturing
CIRTEK HOLDINGS LIMITED,0.0810HKD,20.59M,-15.62%,Other Commercial Printing Services
CITIC LIMITED,13.43HKD,49B,11.44%,Other Banks
CITIC RESOURCES HOLDINGS LIMITED,0.5500HKD,572M,37.50%,Oil Exploration & Production - Onshore
CITIC TELECOM INTERNATIONAL HOLDINGS LIMITED,2.630HKD,1.32B,6.48%,Other Integrated Telecommunications Services
CITY COOLXUAN COMPANY LIMITED,1.450HKD,48.81M,-26.77%,Other IT Services & Consulting
CITYCHAMP WATCH & JEWELLERY GROUP LIMITED,0.0920HKD,52.21M,-55.00%,Watches
CK ASSET HOLDINGS LIMITED,50.00HKD,22.85B,27.16%,Other Real Estate Development & Operations
CK HUTCHISON HOLDINGS LIMITED,71.35HKD,35.22B,34.75%,Beauty Supply Shop
CK INFRASTRUCTURE HOLDINGS LIMITED,62.10HKD,20.8B,7.81%,Other Multiline Utilities
"CK LIFE SCIENCES INT'L., (HOLDINGS) INC.",0.7000HKD,871M,-14.63%,Special Foods & Wellbeing Products
CL GROUP (HOLDINGS) LIMITED,0.0450HKD,12.63M,-4.26%,Brokerage Services
CLARITY MEDICAL GROUP HOLDING LIMITED,0.3550HKD,24.3M,-.--%,"Hospitals, Clinics & Primary Care Services"
CLIFFORD MODERN LIVING HOLDINGS LIMITED,0.7600HKD,98.52M,1.33%,Other Employment Services
CLOUD FACTORY TECHNOLOGY HOLDINGS LIMITED,3.080HKD,188M,-23.00%,Other IT Services & Consulting
CLOUDBREAK PHARMA INC.,1.400HKD,142M,-73.08%,Bio Therapeutic Drugs
CLOUDR GROUP LIMITED,0.7000HKD,59.33M,-30.00%,"Other Medical Equipment, Supplies & Distribu"
"CLOVER BIOPHARMACEUTICALS, LTD.",2.490HKD,424M,7.26%,Bio Therapeutic Drugs
CLP HOLDINGS LIMITED,77.00HKD,24.83B,10.56%,Other Electric Utilities
"CM ENERGY TECH CO., LTD.",0.4050HKD,178M,55.77%,Oil Related Equipment
CMBC CAPITAL HOLDINGS LIMITED,2.300HKD,330M,236.23%,Other Investment Banking & Brokerage Services
CMGE TECHNOLOGY GROUP LIMITED,0.2230HKD,93.52M,-42.08%,Internet Gaming
CMON LIMITED,1.150HKD,9.09M,41.98%,Other Software
CN LOGISTICS INTERNATIONAL HOLDINGS LIMITED,3.360HKD,129M,0.00%,Freight Logistics
CNNC INTERNATIONAL LIMITED,4.660HKD,284M,-2.10%,Specialty Mining & Metals Wholesale
CNOOC LIMITED,27.14HKD,172B,27.51%,Integrated Oil & Gas
CNQC INTERNATIONAL HOLDINGS LIMITED,0.1700HKD,37.75M,-10.53%,Other Construction & Engineering
CNT GROUP LIMITED,0.1090HKD,26.48M,-44.67%,Paint & Coating
COASTAL GREENLAND LIMITED,0.1880HKD,9.95M,-23.58%,Other Real Estate Development & Operations
COCOON HOLDINGS LIMITED,0.2480HKD,4.02M,3.77%,Other Holding Companies
COFCO JOYCOME FOODS LIMITED,1.200HKD,708M,-23.08%,Other Food Processing
"COLOUR LIFE SERVICES GROUP CO., LIMITED",0.1590HKD,38.92M,-4.79%,Other Real Estate Services
COMBA TELECOM SYSTEMS HOLDINGS LIMITED,1.290HKD,540M,-46.91%,Other Communications & Networking
COME SURE GROUP (HOLDINGS) LIMITED,0.2850HKD,12.04M,42.50%,Other Paper Packaging
COMPUTER AND TECHNOLOGIES HOLDINGS LIMITED,1.190HKD,36.95M,-26.09%,Other Software
COMPUTIME GROUP LIMITED,0.4750HKD,51.61M,-6.86%,Other Industrial Machinery & Equipment
COMTEC SOLAR SYSTEMS GROUP LIMITED,0.0840HKD,11.36M,-16.83%,Photovoltaic Solar Systems & Equipment
"CONCORD HEALTHCARE GROUP CO., LTD.",1.280HKD,128M,-27.06%,"Hospitals, Clinics & Primary Care Services"
CONCORD NEW ENERGY GROUP LIMITED,0.3900HKD,429M,21.88%,Renewable IPPs
CONFIDENCE INTELLIGENCE HOLDINGS LIMITED,0.3950HKD,13.78M,3.95%,Financial Technology (Fintech) (NEC)
CONGYU INTELLIGENT AGRICULTURAL HOLDINGS LIMITED,0.5100HKD,37.64M,-65.31%,Other Fishing & Farming
CONSUN PHARMACEUTICAL GROUP LIMITED,14.36HKD,1.55B,-8.31%,Generic Pharmaceuticals
CONTEL TECHNOLOGY COMPANY LIMITED,0.5600HKD,9.42M,-21.13%,Other Electronic Equipment & Parts
CONTINENTAL AEROSPACE TECHNOLOGIES HOLDING LIMITED,0.1640HKD,190M,11.56%,Other Aircraft Parts Manufacturing
CONTINENTAL HOLDINGS LIMITED,0.2190HKD,19.09M,67.18%,Jewelry
"CONTIOCEAN ENVIRONMENT TECH GROUP CO., LTD.",31.00HKD,158M,2.24%,Other Industrial Machinery & Equipment
CONVENIENCE RETAIL ASIA LIMITED,0.3450HKD,34.94M,6.15%,Bread & Bakery Product Manufacturing
COOL LINK (HOLDINGS) LIMITED,0.3700HKD,20.35M,-13.95%,Other Food Retail & Distribution
COOLPAD GROUP LIMITED,0.8300HKD,34.31M,-13.54%,Phones & Smart Phones
COOLPOINT INNONISM HOLDING LIMITED,0.5500HKD,24.3M,19.57%,Building Contractors
CORNERSTONE FINANCIAL HOLDINGS LIMITED,0.1040HKD,3.04M,-4.59%,Advertising Agency
CORNERSTONE TECHNOLOGIES HOLDINGS LIMITED,0.4600HKD,61.62M,-17.86%,Other Commercial Printing Services
"COSCO SHIPPING DEVELOPMENT CO., LTD.",1.010HKD,4.19B,-3.81%,Metal Containers & Packaging
"COSCO SHIPPING ENERGY TRANSPORTATION CO., LTD.",18.08HKD,17.16B,88.33%,Sea-Borne Tankers
"COSCO SHIPPING HOLDINGS CO., LTD.",15.35HKD,31.94B,11.64%,Other Marine Freight & Logistics
"COSCO SHIPPING INTERNATIONAL (HONG KONG) CO., LTD.",6.230HKD,1.17B,0.65%,Other Shipbuilding
COSCO SHIPPING PORTS LIMITED,5.160HKD,2.59B,-7.86%,Other Marine Port Services
COSMO LADY (CHINA) HOLDINGS COMPANY LIMITED,0.3450HKD,111M,6.25%,Lingerie
COSMOPOLITAN INTERNATIONAL HOLDINGS LIMITED,0.0670HKD,14.31M,-24.72%,Other Air Freight & Logistics
COSMOS MACHINERY ENTERPRISES LIMITED,0.2550HKD,27.39M,2.00%,Industrial Machinery
COUNTRY GARDEN HOLDINGS COMPANY LIMITED,0.2380HKD,1.38B,-42.65%,Other Real Estate Development & Operations
COUNTRY GARDEN SERVICES HOLDINGS COMPANY LIMITED,5.960HKD,2.52B,-1.16%,Residential Real Estate Services
COURAGE INVESTMENT GROUP LIMITED,0.1560HKD,21.85M,-3.70%,Deep Sea Freight
COWELL E HOLDINGS INC.,29.94HKD,3.33B,8.64%,Other Electronic Equipment & Parts
CPM GROUP LIMITED,0.2600HKD,33.18M,80.56%,Other Holding Companies
CR CONSTRUCTION GROUP HOLDINGS LIMITED,0.4100HKD,26.16M,12.33%,Other Construction & Engineering
CRAZY SPORTS GROUP LIMITED,0.0860HKD,49.68M,8.86%,Mobile Application Software
CRCC HIGH-TECH EQUIPMENT CORPORATION LIMITED,0.7600HKD,149M,-15.56%,Construction Machinery
CREATIVE CHINA HOLDINGS LIMITED,0.2900HKD,21.38M,31.82%,Other Leisure & Recreation
CROCODILE GARMENTS LIMITED,1.400HKD,18.5M,-4.76%,Other Apparel & Accessories
CROSSTEC GROUP HOLDINGS LIMITED,1.380HKD,126M,30.19%,Residential Architectural & Interior Design Services
CROWN INTERNATIONAL CORPORATION LIMITED,0.6800HKD,109M,-9.33%,Other Real Estate Development & Operations
"CRYOFOCUS MEDTECH (SHANGHAI) CO., LTD.",5.060HKD,163M,-26.45%,Medical Equipment
CRYPTO FLOW TECHNOLOGY LIMITED,1.270HKD,126M,-51.53%,Data Processing Services
CRYSTAL INTERNATIONAL GROUP LIMITED,5.890HKD,2.13B,-12.09%,Other Apparel & Accessories
"CSC FINANCIAL CO., LTD.",11.77HKD,22.85B,-8.18%,Other Investment Banking & Brokerage Services
CSC HOLDINGS LIMITED,0.0230HKD,62.44M,-23.33%,Coal Wholesale
CSI PROPERTIES LIMITED,0.2060HKD,339M,17.71%,Other Real Estate Development & Operations
CSPC PHARMACEUTICAL GROUP LIMITED,7.510HKD,11.22B,-10.91%,Other Pharmaceuticals
CSSC (HONG KONG) SHIPPING COMPANY LIMITED,2.330HKD,1.83B,10.95%,Commercial Leasing
CSSC OFFSHORE & MARINE ENGINEERING (GROUP) COMPANY LIMITED,14.59HKD,4.77B,11.72%,Other Shipbuilding
CSTONE PHARMACEUTICALS,7.820HKD,1.64B,48.20%,Biopharmaceuticals
CT VISION (INTERNATIONAL) HOLDINGS LIMITED,0.3300HKD,49.63M,11.86%,Other Construction & Engineering
CTF SERVICES LIMITED,8.240HKD,4.87B,10.31%,Other Construction & Engineering
CTR HOLDINGS LIMITED,0.2350HKD,43.06M,32.77%,Civil Engineers & Architects
CULTURECOM HOLDINGS LIMITED,0.1240HKD,27.9M,-22.01%,Book Publishing
CUTIA THERAPEUTICS,3.900HKD,193M,-14.10%,Other Pharmaceuticals
CWT INTERNATIONAL LIMITED,0.2500HKD,364M,-3.85%,Other Air Freight & Logistics
D&G TECHNOLOGY HOLDING COMPANY LIMITED,0.3400HKD,27.61M,0.00%,Construction Machinery
DA MING INTERNATIONAL HOLDINGS LIMITED,0.7400HKD,120M,-12.94%,"Iron, Steel Mills & Foundries"
DA SEN HOLDINGS GROUP LIMITED,0.2900HKD,40.55M,55.91%,Other Forest & Wood Products
DA YU FINANCIAL HOLDINGS LIMITED,0.1020HKD,44.49M,-5.56%,Other Investment Management & Fund Operators
DACHAN FOOD (ASIA) LIMITED,0.5700HKD,73.92M,1.79%,Animal Feed
DADI EDUCATION HOLDINGS LIMITED,0.0210HKD,4.91M,10.53%,Other Business Support Services
DADI INTERNATIONAL GROUP LIMITED,0.0100HKD,4.65M,-.--%,Environmental Consultancy Services
DAH SING BANKING GROUP LIMITED,13.34HKD,2.4B,25.02%,Other Banks
DAH SING FINANCIAL HOLDINGS LIMITED,43.10HKD,1.75B,21.89%,Commercial Banks
"DAHON TECH (SHENZHEN) CO., LTD.",30.00HKD,37.61M,-15.49%,Bicycle Manufacturing
DAIDO GROUP LIMITED,1.800HKD,11.63M,-5.26%,Warehousing
DAISHO MICROLINE HOLDINGS LIMITED,0.3400HKD,72.06M,265.59%,Other Paper Packaging
DALIPAL HOLDINGS LIMITED,2.970HKD,613M,-59.15%,Other Steel
DAMAI ENTERTAINMENT HOLDINGS LIMITED,0.6400HKD,2.37B,-32.63%,"Movie, TV Production & Distribution"
DAOHE GLOBAL GROUP LIMITED,0.0700HKD,12.52M,40.00%,Other Internet Services
DAPHNE INTERNATIONAL HOLDINGS LIMITED,0.3850HKD,99.74M,-4.94%,Other Footwear
DASHAN EDUCATION HOLDINGS LIMITED,1.880HKD,216M,-.--%,Miscellaneous Educational Service Providers
DATA UNION CAPITAL INTERNATIONAL HOLDINGS GROUP LIMITED,1.650HKD,79.39M,-7.61%,Electric Equipment Wholesale
"DATANG ENVIRONMENT INDUSTRY GROUP CO., LTD.",1.130HKD,428M,0.89%,Other Construction & Engineering
"DATANG INTERNATIONAL POWER GENERATION CO., LTD.",2.910HKD,14.73B,31.67%,Other Independent Power Producers
DATRONIX HOLDINGS LIMITED,0.3750HKD,16.13M,1.35%,Electronic Component
DAWNRAYS PHARMACEUTICAL (HOLDINGS) LIMITED,1.100HKD,213M,-9.84%,Other Pharmaceuticals
DEEP SOURCE HOLDINGS LIMITED,0.8100HKD,1.34B,15.71%,Metal Merchant Wholesale
"DEEPEXI TECHNOLOGY CO., LTD.",57.70HKD,2.39B,-12.71%,Enterprise Software
"DEEWIN TIANXIA CO., LTD",3.260HKD,895M,-65.50%,Freight Trucking
DEFENG SOLIFE HOLDINGS LIMITED,3.270HKD,70.18M,116.56%,E-commerce & Auction Services
DEKON FOOD AND AGRICULTURE GROUP,53.10CNY,2.61B,-24.31%,Hog & Pig Farming
DENOX ENVIRONMENTAL & TECHNOLOGY HOLDINGS LIMITED,0.1880HKD,11.35M,63.48%,Tanning & Softening Agents
DESIGN CAPITAL LIMITED,0.1280HKD,34.71M,39.13%,Home Furnishings Wholesale
DESON DEVELOPMENT INTERNATIONAL HOLDINGS LIMITED,0.0830HKD,15.72M,-17.00%,Other Real Estate Development & Operations
"DESUN REAL ESTATE INVESTMENT SERVICES GROUP CO., LTD.",4.690HKD,333M,18.14%,Other Real Estate Services
DETAI NEW ENERGY GROUP LIMITED,0.1260HKD,8.41M,36.96%,Other Food Retail & Distribution
DEVGREAT GROUP LIMITED,0.3500HKD,7.98M,-4.11%,Other Real Estate Development & Operations
DEXIN SERVICES GROUP LIMITED,0.2220HKD,25.22M,-23.45%,Residential Real Estate Services
DICKSON CONCEPTS (INTERNATIONAL) LIMITED,5.890HKD,289M,-1.67%,Other Apparel & Accessories Retailers
DIDA INC.,1.200HKD,156M,-49.79%,Taxi & Limousine
DIFFER GROUP AUTO LIMITED,0.0370HKD,4.44M,-.--%,Other Real Estate Development & Operations
DIGITAL CHINA HOLDINGS LIMITED,2.430HKD,536M,-8.30%,Other IT Services & Consulting
DIGITAL DOMAIN HOLDINGS LIMITED,0.2380HKD,236M,-37.37%,"Movie, TV Production & Distribution"
DIGITAL HOLLYWOOD INTERACTIVE LIMITED,0.0680HKD,17.58M,23.64%,Internet Gaming
DIMMI LIFE HOLDINGS LIMITED,0.3700HKD,45.33M,-5.13%,Other Miscellaneous Specialty Retailers
DINGDANG HEALTH TECHNOLOGY GROUP LTD.,0.9200HKD,149M,-14.02%,Other Drug Retailers
DINGYI GROUP INVESTMENT LIMITED,0.4700HKD,51.94M,22.08%,Commercial Loans
DIRECTEL HOLDINGS LIMITED,0.1010HKD,3.16M,-7.34%,Wireless Telecom
DISTINCT HEALTHCARE HOLDINGS LIMITED,22.88HKD,199M,-,"Hospitals, Clinics & Primary Care Services"
DIT GROUP LIMITED,0.0450HKD,17.81M,28.57%,Other Construction & Engineering
DIWANG INDUSTRIAL HOLDINGS LIMITED,0.1160HKD,11.21M,-35.20%,Distilleries
DL HOLDINGS GROUP LIMITED,1.200HKD,292M,-40.69%,Other Investment Management & Fund Operators
DLC ASIA LIMITED,0.0560HKD,6.02M,-1.75%,Brokerage Services
DMALL INC.,6.350USD,728M,-11.93%,Other Software
DOMAINE POWER HOLDINGS LIMITED,0.7300HKD,24.47M,-8.75%,Other Apparel & Accessories
DONGFANG ELECTRIC CORPORATION LIMITED,35.72HKD,18.04B,42.96%,Other Heavy Electrical Equipment
"DONGGUAN RURAL COMMERCIAL BANK CO., LTD.",3.300HKD,3.17B,-6.78%,Other Banks
DONGGUANG CHEMICAL LIMITED,1.990HKD,158M,5.85%,Fertilizer
DONGJIANG ENVIRONMENTAL COMPANY LIMITED,1.920HKD,565M,-13.51%,"Waste Management, Disposal & Recycling Services"
DONGWU CEMENT INTERNATIONAL LIMITED,7.320HKD,547M,-8.73%,Cement & Concrete Manufacturing
DONGYUE GROUP LIMITED,16.75HKD,3.01B,54.53%,Other Specialty Chemicals
DOUMOB,0.1010HKD,27.88M,-15.83%,Other Advertising & Marketing
DOWELL SERVICE GROUP CO. LIMITED,4.700CNY,40.18M,-21.80%,Residential Real Estate Services
DPC DASH LTD,41.06HKD,682M,-42.67%,Quick Service Restaurants
DRAGON MINING LIMITED,6.870HKD,172M,5.86%,Other Gold
DRAGON RISE GROUP HOLDINGS LIMITED,2.140HKD,81.59M,-28.19%,Building Contractors
DREAM INTERNATIONAL LIMITED,6.750HKD,591M,-17.78%,Other Toys & Juvenile Products
DT CAPITAL LIMITED,0.0580HKD,19.9M,-17.14%,Other Holding Companies
DTXS SILK ROAD INVESTMENT HOLDINGS COMPANY LIMITED,0.2270HKD,23.41M,-69.73%,Art & Craftwork Retailers
DU DU HOLDINGS LIMITED,0.1410HKD,6.28M,3.68%,Fishing & Farming Wholesale
"DUALITY BIOTHERAPEUTICS, INC.",216.40HKD,2.57B,-27.43%,Biopharmaceuticals
DUFU LIQUOR GROUP LIMITED,0.0460HKD,7.27M,-48.89%,Jewelry
DUIBA GROUP LIMITED,0.1340HKD,18.55M,-39.09%,Other Software
"DYNAGREEN ENVIRONMENTAL PROTECTION GROUP CO., LTD.",6.340HKD,1.62B,22.16%,"Waste Management, Disposal & Recycling Services"
"DYNAM JAPAN HOLDINGS CO., LTD.",3.160HKD,284M,-7.06%,Gaming Machine Operators
DYNAMIC HOLDINGS LIMITED,11.27HKD,347M,-12.97%,Other Real Estate Development & Operations
DYNASTY FINE WINES GROUP LIMITED,0.2040HKD,37.03M,-20.00%,Wineries
E LIGHTING GROUP HOLDINGS LIMITED,0.0620HKD,3.22M,100.00%,Home Furnishings Wholesale
E&P GLOBAL HOLDINGS LIMITED,0.1290HKD,206M,-46.25%,Other Coal
E-COMMODITIES HOLDINGS LIMITED,0.6900HKD,228M,-25.00%,Other Coal
E-HOUSE (CHINA) ENTERPRISE HOLDINGS LIMITED,0.0520HKD,11.61M,-28.77%,Other Real Estate Services
E-STAR COMMERCIAL MANAGEMENT COMPANY LIMITED,1.400HKD,184M,2.19%,Retail Real Estate Services
"E-STATION GREEN TECHNOLOGY GROUP CO., LIMITED",0.0690HKD,600K,-.--%,Other Restaurants & Bars
E. BON HOLDINGS LIMITED,0.1300HKD,11.93M,-29.73%,Construction Supplies & Fixtures Wholesale
EAGLE NICE (INTERNATIONAL) HOLDINGS LIMITED,2.650HKD,214M,-25.98%,Other Apparel & Accessories
EASOU TECHNOLOGY HOLDINGS LIMITED,2.030USD,117M,-34.52%,Other Internet Services
EAST BUY HOLDING LIMITED,22.30HKD,3.08B,24.44%,E-commerce & Auction Services
EAST NOVA HOLDINGS LIMITED,2.290HKD,49.08M,-28.21%,Other Commercial Printing Services
EASY SMART GROUP HOLDINGS LIMITED,33.48HKD,1.73B,72.05%,Other Construction & Engineering
EASYHOLD GROUP HOLDINGS LIMITED,0.7000HKD,12.33M,-4.11%,Commercial Food Services
EASYKNIT INTERNATIONAL HOLDINGS LIMITED,2.400HKD,22.57M,-24.76%,Other Real Estate Development & Operations
EBROKER GROUP LIMITED,0.0420HKD,6.15M,50.00%,Other IT Services & Consulting
EC HEALTHCARE,0.4050HKD,63.53M,-31.36%,Personal Care Services
ECHO INTERNATIONAL HOLDINGS GROUP LIMITED,0.1100HKD,9.36M,-2.65%,Electronic Component
ECO-TEK HOLDINGS LIMITED,0.0380HKD,3.15M,-13.64%,Industrial Machinery & Equipment Wholesale
EDA GROUP HOLDINGS LIMITED,0.8300HKD,45.57M,-41.96%,Other Ground Freight & Logistics
EDDING GENOR GROUP HOLDINGS LIMITED,2.060HKD,535M,-31.33%,Bio Therapeutic Drugs
EDENSOFT HOLDINGS LIMITED,0.1540HKD,39.15M,6.21%,Other IT Services & Consulting
EDIANYUN LIMITED,3.380HKD,225M,55.71%,Other IT Services & Consulting
EDICO HOLDINGS LIMITED,0.2400HKD,30.63M,155.32%,Other Commercial Printing Services
EDVANCE INTERNATIONAL HOLDINGS LIMITED,0.8300HKD,104M,53.70%,Other Corporate Financial Services
EDVANTAGE GROUP HOLDINGS LIMITED,0.5900HKD,99.47M,-58.45%,"School, College & University (NEC)"
EEKA FASHION HOLDINGS LIMITED,6.200HKD,543M,-18.10%,Women's Apparel Retailers
EFT SOLUTIONS HOLDINGS LIMITED,0.2800HKD,17.15M,27.27%,Other Computer Hardware
EGL HOLDINGS COMPANY LIMITED,0.5000HKD,32.06M,1.01%,Travel Agents
ELATE HOLDINGS LIMITED,0.1480HKD,8.05M,6.47%,Other Electronic Equipment & Parts
ELEGANCE OPTICAL INTERNATIONAL HOLDINGS LIMITED,0.0610HKD,6.8M,12.96%,Fashion Eyewear
ELEPHANT HOLDINGS GROUP LIMITED,0.3550HKD,21.75M,-51.37%,Other Apparel & Accessories
